149,BANK OF INDIA Liquid Fund- Regular Plan- Growth,BANK OF INDIA Liquid Fund- Regular Plan- Growth,BANK OF INDIA Liquid Fund- Regular Plan- Growth,BANK OF INDIA Liquid Fund- Regular Plan- Growth
150,2571.3537,,,07-Apr-2023 00:55:16
151,BANK OF INDIA Liquid Fund- Regular Plan- Weekly IDCW,BANK OF INDIA Liquid Fund- Regular Plan- Weekly IDCW,BANK OF INDIA Liquid Fund- Regular Plan- Weekly IDCW,BANK OF INDIA Liquid Fund- Regular Plan- Weekly IDCW
152,1002.2173,,,07-Apr-2023 00:55:16
153,BANK OF INDIA OVERNIGHT FUND,BANK OF INDIA OVERNIGHT FUND,BANK OF INDIA OVERNIGHT FUND,BANK OF INDIA OVERNIGHT FUND
154,BANK OF INDIA Overnight Fund Direct Plan Growth,BANK OF INDIA Overnight Fund Direct Plan Growth,BANK OF INDIA Overnight Fund Direct Plan Growth,BANK OF INDIA Overnight Fund Direct Plan Growth
155,1137.2960,,,07-Apr-2023 00:55:16
156,BANK OF INDIA Overnight Fund Direct Plan- Daily IDCW,BANK OF INDIA Overnight Fund Direct Plan- Daily IDCW,BANK OF INDIA Overnight Fund Direct Plan- Daily IDCW,BANK OF INDIA Overnight Fund Direct Plan- Daily IDCW
157,1000.0019,,,07-Apr-2023 00:55:16
158,BANK OF INDIA Overnight Fund Direct Plan- Monthly IDCW,BANK OF INDIA Overnight Fund Direct Plan- Monthly IDCW,BANK OF INDIA Overnight Fund Direct Plan- Monthly IDCW,BANK OF INDIA Overnight Fund Direct Plan- Monthly IDCW
159,1002.1002,,,07-Apr-2023 00:55:16
160,BANK OF INDIA Overnight Fund Direct Plan- Weekly IDCW,BANK OF INDIA Overnight Fund Direct Plan- Weekly IDCW,BANK OF INDIA Overnight Fund Direct Plan- Weekly IDCW,BANK OF INDIA Overnight Fund Direct Plan- Weekly IDCW
161,1000.7282,,,07-Apr-2023 00:55:16
162,BANK OF INDIA Overnight Fund Regular Plan Growth,BANK OF INDIA Overnight Fund Regular Plan Growth,BANK OF INDIA Overnight Fund Regular Plan Growth,BANK OF INDIA Overnight Fund Regular Plan Growth
163,1134.6872,,,07-Apr-2023 00:55:16
164,BANK OF INDIA Overnight Fund Regular Plan- Monthly IDCW,BANK OF INDIA Overnight Fund Regular Plan- Monthly IDCW,BANK OF INDIA Overnight Fund Regular Plan- Monthly IDCW,BANK OF INDIA Overnight Fund Regular Plan- Monthly IDCW
165,1002.0965,,,07-Apr-2023 00:55:16
166,BANK OF INDIA Overnight Fund Unclaimed IDCW Plan - Greater than 3 Years,BANK OF INDIA Overnight Fund Unclaimed IDCW Plan - Greater than 3 Years,BANK OF INDIA Overnight Fund Unclaimed IDCW Plan - Greater than 3 Years,BANK OF INDIA Overnight Fund Unclaimed IDCW Plan - Greater than 3 Years
167,1000.0000,,,07-Apr-2023 00:55:16
168,BANK OF INDIA Overnight Fund Unclaimed IDCW Plan - Up to 3 Years,BANK OF INDIA Overnight Fund Unclaimed IDCW Plan - Up to 3 Years,BANK OF INDIA Overnight Fund Unclaimed IDCW Plan - Up to 3 Years,BANK OF INDIA Overnight Fund Unclaimed IDCW Plan - Up to 3 Years
169,1069.3754,,,07-Apr-2023 00:55:16
170,BANK OF INDIA Overnight Fund Unclaimed Redemption Plan - Greater than 3 Years,BANK OF INDIA Overnight Fund Unclaimed Redemption Plan - Greater than 3 Years,BANK OF INDIA Overnight Fund Unclaimed Redemption Plan - Greater than 3 Years,BANK OF INDIA Overnight Fund Unclaimed Redemption Plan - Greater than 3 Years
171,1000.0000,,,07-Apr-2023 00:55:16
172,BANK OF INDIA Overnight Fund Unclaimed Redemption Plan - Upto 3 Years,BANK OF INDIA Overnight Fund Unclaimed Redemption Plan - Upto 3 Years,BANK OF INDIA Overnight Fund Unclaimed Redemption Plan - Upto 3 Years,BANK OF INDIA Overnight Fund Unclaimed Redemption Plan - Upto 3 Years
173,1069.2914,,,07-Apr-2023 00:55:16
174,Baroda BNP Paribas Mutual Fund,Baroda BNP Paribas Mutual Fund,Baroda BNP Paribas Mutual Fund,Baroda BNP Paribas Mutual Fund
